id,cid,name,addr,use_time,free,b_name,b_call,type,x_crdn,y_crdn
PI640054,02,서귀포시 푸른섬게스트하우스,제주특별자치도 서귀포시 표선면 민속해안로119번길 17,24시간 이용가능,Y,차지비,1600-4047,02,33.3079428,126.8124245
PI640057,01,제주시 에덴빌라2차,제주특별자치도 제주시 거로중길 56,24시간 이용가능,Y,차지비,1600-4047,02,33.511452008,126.56086300
PW000574,01,가온누리,제주특별자치도 서귀포시 대정읍 하모리 1394-2,24시간 이용가능,Y,파워큐브,1833-8017,02,33.227728,126.253499
PW000666,01,해양경찰청,제주특별자치도 제주시 한림읍 귀덕동길 58,24시간 이용가능,Y,파워큐브,1833-8017,02,33.440620,126.291898
PW000667,01,해성상사,제주특별자치도 제주시 용해로 114-1,24시간 이용가능,Y,파워큐브,1833-8017,02,33.507380,126.504819
PW000667,02,해성상사,제주특별자치도 제주시 용해로 114-1,24시간 이용가능,Y,파워큐브,1833-8017,02,33.507380,126.504819
PW000834,01,우정골프연습장,제주특별자치도 제주시 아연로 131-3,24시간 이용가능,Y,파워큐브,1833-8017,02,33.473465496217,126.5057250359
PW000834,02,우정골프연습장,제주특별자치도 제주시 아연로 131-3,24시간 이용가능,Y,파워큐브,1833-8017,02,33.473465496217,126.5057250359
PW000835,01,서림교회,"제주특별자치도 서귀포시 대정읍 서림중앙로 45 (일과리, 서림교회)",24시간 이용가능,Y,파워큐브,064-794-3092,02,33.2462638,126.2255744
PW000835,02,서림교회,"제주특별자치도 서귀포시 대정읍 서림중앙로 45 (일과리, 서림교회)",24시간 이용가능,Y,파워큐브,064-794-3092,02,33.2462638,126.2255744
PW001265,01,기아오토큐외도점,제주특별자치도 제주시 연대마을길 75,24시간 이용가능,Y,파워큐브,1833-8017,02,33.492520,126.423989
PW001265,02,기아오토큐외도점,제주특별자치도 제주시 연대마을길 75,24시간 이용가능,Y,파워큐브,1833-8017,02,33.492520,126.423989
PW001266,01,오리지날로맨스,제주특별자치도 제주시 한림읍 옹포2길 1,24시간 이용가능,Y,파워큐브,1833-8017,02,33.400950,126.250523
PW001267,01,애월스테이관광호텔,제주특별자치도 제주시 애월읍 중엄3길 50,24시간 이용가능,Y,파워큐브,1833-8017,02,33.477984258827,126.3716394400
PW001267,02,애월스테이관광호텔,제주특별자치도 제주시 애월읍 중엄3길 50,24시간 이용가능,Y,파워큐브,1833-8017,02,33.477984258827,126.3716394400
PW010082,01,가시리교회,제주특별자치도 서귀포시 표선면 중산간동로 5236-7,24시간 이용가능,Y,파워큐브,1833-8017,02,33.3511780572,126.771752307
PW010083,01,주식회사 까사데비발디,제주특별자치도 서귀포시 안덕면 향교로 214,24시간 이용가능,Y,파워큐브,1833-8017,02,33.2341608155,126.290500382
PW010083,02,주식회사 까사데비발디,제주특별자치도 서귀포시 안덕면 향교로 214,24시간 이용가능,Y,파워큐브,1833-8017,02,33.2341608155,126.290500382
PW010084,01,수원리새마을회,제주특별자치도 제주시 한림읍 수원9길 2,24시간 이용가능,Y,파워큐브,1833-8017,02,33.4274579897,126.27078180
PW010085,01,소랑호젠펜션,제주특별자치도 서귀포시 남원읍 태위로 545,24시간 이용가능,Y,파워큐브,1833-8017,02,33.2758098562,126.70523884
PW010085,02,소랑호젠펜션,제주특별자치도 서귀포시 남원읍 태위로 545,24시간 이용가능,Y,파워큐브,1833-8017,02,33.2758098562,126.70523884
PW010154,01,더풍성한교회,제주특별자치도 서귀포시 중산간동로7929번길 12,24시간 이용가능,Y,파워큐브,1833-8017,02,33.2646103210,126.56889510
PW010154,02,더풍성한교회,제주특별자치도 서귀포시 중산간동로7929번길 12,24시간 이용가능,Y,파워큐브,1833-8017,02,33.2646103210,126.56889510
PW010155,01,이야기별방,제주특별자치도 제주시 구좌읍 해맞이해안로 2040,24시간 이용가능,Y,파워큐브,1833-8017,02,33.5098199069,126.90133466
PW010156,01,제주시간여행휴양펜션,제주특별자치도 제주시 애월읍 구엄리 1054-1,24시간 이용가능,Y,파워큐브,1833-8017,02,33.4720051133,126.37615467
