시도,시군구,읍면동,업종,연령대,성별,날짜,이용자수,이용횟수,이용액
제주도,서귀포시,도심,문화/레져,40대,여,201812,605,765,23610635
제주도,서귀포시,도심,문화/레져,40대,남,201812,968,1236,51271750
제주도,서귀포시,도심,문화/레져,30대,여,201812,664,840,20322700
제주도,서귀포시,도심,문화/레져,30대,남,201812,715,876,25917220
제주도,서귀포시,도심,문화/레져,20대미만,여,201812,17,33,385300
제주도,서귀포시,도심,문화/레져,20대미만,남,201812,15,17,270200
제주도,서귀포시,도심,문화/레져,20대,여,201812,439,498,9905150
제주도,서귀포시,도심,문화/레져,20대,남,201812,468,586,13045040
제주도,서귀포시,도심,교통,60대이상,여,201812,262,316,17567459
제주도,서귀포시,도심,교통,60대이상,남,201812,592,763,41331590
제주도,서귀포시,도심,교통,50대,여,201812,558,676,30816343
제주도,서귀포시,도심,교통,50대,남,201812,1086,1404,66244605
제주도,서귀포시,도심,교통,40대,여,201812,662,791,32840445
제주도,서귀포시,도심,교통,40대,남,201812,1404,1735,73910009
제주도,서귀포시,도심,교통,30대,여,201812,873,977,34295276
제주도,서귀포시,도심,교통,30대,남,201812,1347,1583,59880991
제주도,서귀포시,도심,교통,20대미만,여,201812,5,6,259180
제주도,서귀포시,도심,교통,20대미만,남,201812,5,5,150000
제주도,서귀포시,도심,교통,20대,여,201812,626,673,20745412
제주도,서귀포시,도심,교통,20대,남,201812,666,724,24590395
제주도,제주시,읍면,유흥,60대이상,여,201811,11,19,2279500
제주도,제주시,읍면,유흥,60대이상,남,201811,53,66,8002400
제주도,제주시,읍면,유흥,50대,여,201811,50,58,5131200
제주도,제주시,읍면,유흥,50대,남,201811,131,185,27493100
제주도,제주시,읍면,유흥,40대,여,201811,69,73,4298200
제주도,제주시,읍면,유흥,40대,남,201811,128,183,22680200
제주도,제주시,읍면,유흥,30대,여,201811,96,104,4104600
제주도,제주시,읍면,유흥,30대,남,201811,144,167,12507070
제주도,제주시,읍면,유흥,20대미만,남,201811,3,3,143000
제주도,제주시,읍면,유흥,20대,여,201811,132,141,4933000
제주도,제주시,읍면,유흥,20대,남,201811,95,118,4910900
제주도,제주시,읍면,식음료,60대이상,여,201811,1967,2936,107825480
